Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
22051,0,0.3579,61,1,0.0342,3287.34,7,0,0,0,0.0
22052,0,0.3096,19,0,1.0575,4260.29,6,0,1,0,1.0
22053,0,0.2111,19,0,3.0,2277.23,9,0,1,1,0.0
22054,0,0.0909,76,0,0.3102,,9,0,1,0,0.0
22055,0,0.0689,34,0,0.0938,473.18,10,0,2,0,0.0
22056,0,0.3476,27,0,0.0709,2030.96,7,0,0,0,0.0
22057,0,0.1722,35,0,0.4887,27201.05,7,0,4,0,0.0
22058,0,0.1712,39,1,0.0915,6638.67,7,0,1,0,1.0
22059,0,0.1388,36,0,0.3729,7683.56,16,0,0,0,1.0
22060,0,0.2945,75,0,2.7102,4253.49,7,0,1,0,1.0
22061,0,0.1609,70,1,0.2557,5790.66,3,0,0,0,0.0
22062,0,0.1958,18,2,0.048,2378.13,8,1,0,0,0.0
22063,0,0.2043,41,0,0.716,,8,1,1,0,0.0
22064,0,0.4529,78,1,1.6782,8569.05,5,0,2,0,0.0
22065,0,0.2878,53,0,0.0882,1409.37,3,0,2,0,1.0
22066,0,0.243,42,0,0.8339,4265.86,16,0,0,0,3.0
22067,0,0.2055,53,0,1.7804,10537.89,8,0,0,0,2.0
22068,0,0.392,79,0,0.3139,5953.24,8,0,4,0,1.0
22069,0,0.5951,48,1,3.0,2527.54,4,0,0,0,1.0
22070,0,0.2454,48,0,0.0686,7404.23,12,0,0,0,3.0
22071,0,0.2008,19,0,0.108,3522.17,4,0,0,0,3.0
22072,0,0.4143,36,1,0.1204,2755.75,6,1,1,0,0.0
22073,0,0.2335,70,1,0.1151,5082.39,5,0,1,0,3.0
22074,0,0.5813,29,1,0.0864,1633.66,11,0,1,0,0.0
22075,1,0.3977,27,0,1.3909,1104.52,2,0,2,0,0.0
22076,0,0.1435,48,0,1.1093,2568.58,8,0,2,1,2.0
22077,0,0.2394,62,0,3.0,1915.5,7,0,0,0,0.0
22078,0,0.1099,78,2,0.5733,1092.0,9,0,0,0,1.0
22079,0,0.0497,79,0,0.0632,3093.66,11,1,0,0,2.0
22080,0,0.1909,39,0,3.0,2071.56,7,0,3,1,1.0
22081,0,0.4177,40,1,0.1593,,6,0,1,0,2.0
22082,0,0.063,69,1,0.8536,2991.88,8,0,0,0,1.0
22083,0,0.1325,40,0,0.1601,1558.63,4,0,1,0,1.0
22084,0,0.4164,32,1,0.7529,6819.96,9,0,0,0,1.0
22085,0,0.5762,43,0,0.0688,10517.67,6,1,3,0,0.0
22086,1,0.2621,20,0,3.0,4945.39,11,0,1,0,1.0
22087,0,0.4364,40,0,0.11,2243.59,6,0,1,0,0.0
22088,0,0.1023,37,1,1.8952,4032.03,6,0,1,0,0.0
22089,0,0.0292,78,0,2.2899,1894.58,9,0,0,0,0.0
22090,0,0.3168,62,0,0.5328,4824.91,8,0,0,0,0.0
22091,0,0.3888,57,0,1.2797,5016.49,5,1,3,0,
22092,0,0.2125,74,0,0.7943,5249.54,4,0,2,0,2.0
22093,0,0.2992,56,0,0.2446,2337.84,12,0,0,0,0.0
22094,0,0.5343,73,0,0.0398,4965.26,12,0,2,0,1.0
22095,0,0.3444,25,2,0.0525,4269.25,5,0,0,0,0.0
22096,0,0.3344,35,2,3.0,3639.62,10,0,0,0,1.0
22097,0,0.1778,58,0,0.0855,3222.91,8,0,1,0,1.0
22098,0,0.2132,23,1,0.0525,1428.92,5,0,1,0,1.0
22099,0,0.3791,44,0,0.9281,4050.32,7,0,0,0,0.0
22100,0,0.2568,53,1,0.1074,2486.97,5,0,3,0,0.0
22101,0,0.2967,32,0,0.5808,1232.73,12,0,1,1,2.0
22102,0,0.3252,54,0,2.9223,,6,0,0,0,1.0
22103,0,0.5895,75,0,0.5173,4092.61,8,0,2,0,0.0
22104,0,0.2844,22,0,3.0,2159.31,7,0,1,0,0.0
22105,0,0.2839,56,0,0.8044,2026.56,8,0,3,0,0.0
22106,0,0.3525,79,1,0.9617,706.02,4,0,1,0,0.0
22107,0,0.3271,26,0,0.063,6495.51,12,0,0,0,0.0
22108,1,0.3628,24,0,0.8448,,7,0,2,0,1.0
22109,0,0.3367,58,0,1.4086,3155.25,10,0,0,0,1.0
22110,0,0.2357,37,0,0.0446,2178.89,8,0,3,1,2.0
22111,0,0.5645,27,0,1.8011,,12,0,2,0,0.0
22112,0,0.1704,79,0,0.2414,3601.2,7,1,0,0,1.0
22113,0,0.1028,43,1,0.3799,2622.24,7,0,0,0,1.0
22114,0,0.0863,21,0,0.0503,3678.95,11,0,1,0,1.0
22115,0,0.3839,55,0,3.0,,14,0,2,0,0.0
22116,1,0.1542,41,0,2.0663,1157.7,5,0,1,0,1.0
22117,0,0.114,31,2,0.1215,7042.28,5,0,0,0,2.0
22118,0,0.3788,58,1,0.8203,8767.42,2,0,2,0,2.0
22119,0,0.339,18,0,2.0814,1634.53,9,0,2,1,0.0
22120,0,0.1459,34,0,1.2893,1023.79,11,0,1,1,3.0
22121,0,0.4947,62,1,0.6873,7274.37,8,0,3,0,0.0
22122,0,0.2069,41,0,1.0277,1428.71,9,0,2,1,2.0
22123,0,0.1975,44,0,0.6074,7488.62,7,0,0,0,
22124,0,0.4105,24,0,0.4199,6838.02,12,0,2,1,0.0
22125,0,0.0292,26,0,0.2576,,10,0,2,2,0.0
22126,0,0.1995,60,0,1.0726,2675.87,10,0,2,0,1.0
22127,0,0.4586,52,0,1.5301,1509.76,7,0,0,0,2.0
22128,0,0.4137,75,0,0.6861,3169.09,11,0,1,0,2.0
22129,0,0.2927,29,0,1.6591,4267.38,7,0,1,0,0.0
22130,0,0.4054,38,0,0.1457,3899.18,11,0,2,0,2.0
22131,0,0.3727,20,0,0.1017,4645.74,10,0,1,0,1.0
22132,0,0.1607,32,0,0.0543,6355.98,7,0,1,0,1.0
22133,0,0.3457,38,0,0.1943,2927.77,6,0,1,0,1.0
22134,0,0.1843,27,0,0.3918,21797.03,7,0,1,0,1.0
22135,0,0.2837,50,0,0.8056,4142.99,6,0,1,0,0.0
22136,1,0.1508,63,0,0.3283,3999.01,6,1,1,0,1.0
22137,1,0.4329,76,0,1.2404,3978.64,4,1,0,0,1.0
22138,0,0.2555,69,1,0.3589,4017.41,10,0,1,1,2.0
22139,0,0.3559,23,0,1.1961,4001.59,12,0,2,0,1.0
22140,0,0.3462,19,1,0.346,6292.23,5,0,2,0,0.0
22141,0,0.2152,46,1,0.1701,523.73,11,0,1,0,1.0
22142,0,0.4841,72,0,0.0492,2551.85,7,1,1,0,0.0
22143,0,0.3981,57,0,0.37,955.16,10,0,0,0,1.0
22144,0,0.2233,50,0,1.594,7863.36,3,0,1,2,0.0
22145,0,0.1181,78,0,0.9978,1128.43,10,0,1,0,0.0
22146,0,0.6072,21,0,0.9529,,6,0,0,1,0.0
22147,0,0.2148,76,0,0.3905,1899.19,6,0,0,0,0.0
22148,0,0.0461,21,2,0.974,1295.53,3,0,2,1,2.0
22149,0,0.6346,46,0,2.6015,,6,0,0,1,0.0
22150,0,0.6606,54,0,0.1963,697.29,8,0,1,0,2.0
22151,1,0.1461,79,0,0.5661,8809.44,6,0,3,0,1.0
22152,0,0.1627,77,1,3.0,4066.66,10,0,0,0,0.0
22153,0,0.0979,77,0,1.859,1775.47,12,0,1,0,0.0
22154,0,0.3546,37,0,0.0654,4519.57,10,0,0,0,0.0
22155,0,0.3533,58,2,0.2801,3797.58,6,0,0,0,0.0
22156,0,0.1112,40,0,0.3312,1565.02,5,0,2,0,3.0
22157,0,0.4955,62,0,0.6206,4962.84,7,1,1,0,0.0
22158,0,0.2657,35,0,0.2282,2607.69,3,0,0,1,1.0
22159,0,0.2669,66,0,0.3732,6691.2,12,0,0,0,1.0
22160,0,0.4225,42,1,0.091,2154.49,7,0,3,0,0.0
22161,0,0.0699,18,1,0.5402,1175.06,7,0,1,0,0.0
22162,0,0.1051,71,0,0.0978,5993.94,7,0,1,0,0.0
22163,0,0.4214,32,0,0.0789,,8,0,1,0,0.0
22164,0,0.184,51,0,0.0862,2974.68,10,0,0,0,0.0
22165,0,0.0886,65,0,0.1991,3645.55,9,1,1,0,1.0
22166,0,0.1662,37,0,1.9175,1522.07,15,0,0,0,2.0
22167,1,0.0684,71,1,0.4642,2466.18,11,1,1,0,0.0
22168,0,0.1236,54,0,0.7524,,8,0,0,0,1.0
22169,0,0.4942,44,1,0.0262,2295.47,8,0,1,0,0.0
22170,1,0.1684,39,1,1.2078,7258.12,6,0,1,0,0.0
22171,0,0.4527,68,0,0.6731,1758.2,10,0,0,0,2.0
22172,1,0.3172,22,1,3.0,1698.05,5,0,0,0,0.0
22173,0,0.3595,51,0,0.8485,,7,1,2,0,0.0
22174,0,0.3786,56,1,3.0,1518.43,6,0,0,0,0.0
22175,0,0.2946,20,0,0.1819,3164.77,7,1,1,1,1.0
22176,1,0.2197,34,0,0.6117,4886.97,8,0,1,0,0.0
22177,0,0.579,79,0,1.5482,,5,0,0,0,0.0
22178,0,0.3142,41,1,0.1213,1131.75,10,0,0,0,1.0
22179,0,0.0998,41,0,0.174,1834.11,11,0,1,0,3.0
22180,0,0.1238,20,0,2.7168,,9,0,0,0,0.0
22181,0,0.0783,62,1,0.093,5421.88,17,1,0,0,0.0
22182,0,0.233,24,0,0.3925,6306.1,10,0,4,0,1.0
22183,0,0.3497,42,2,0.0782,6123.76,6,0,0,0,0.0
22184,0,0.5283,73,1,0.5361,,6,2,0,0,1.0
22185,0,0.2228,20,0,0.8665,2573.57,6,0,0,0,2.0
22186,0,0.4208,32,2,2.1196,2041.6,6,0,3,0,2.0
22187,0,0.0764,46,1,1.2613,1042.43,8,0,1,0,1.0
22188,0,0.3373,67,0,0.2448,,8,0,1,0,1.0
22189,0,0.3168,46,1,0.1405,1534.41,7,0,1,0,1.0
22190,0,0.2839,27,0,1.6818,722.55,6,1,0,0,1.0
22191,0,0.1319,49,0,0.3013,7596.64,8,0,1,0,0.0
22192,0,0.239,40,0,2.7,1964.41,5,0,0,0,0.0
22193,0,0.3494,56,0,0.0311,3589.37,10,0,1,0,0.0
22194,0,0.0912,26,0,0.5339,2735.05,7,0,2,0,0.0
22195,0,0.3509,54,0,0.962,6686.39,5,0,0,0,1.0
22196,0,0.3034,69,0,0.3399,1080.26,7,0,2,0,0.0
22197,0,0.4395,57,0,0.2621,5162.44,6,0,2,0,0.0
22198,0,0.1324,31,0,0.0925,2928.63,12,0,0,0,0.0
22199,1,0.143,21,0,0.6651,4159.84,8,1,0,0,0.0
22200,0,0.0588,37,0,0.3527,2279.97,6,0,1,0,4.0
22201,0,0.6122,45,1,0.0289,2331.55,10,0,0,1,0.0
22202,1,0.1849,31,0,0.5963,,8,0,1,0,1.0
22203,0,0.2272,61,1,0.1272,1791.12,9,0,2,0,0.0
22204,0,0.1984,51,0,0.4865,,6,0,1,0,0.0
22205,0,0.2024,30,0,2.3003,2554.26,3,1,1,0,0.0
22206,0,0.098,48,0,0.6251,1097.67,8,0,0,0,1.0
22207,0,0.3027,50,0,0.0648,2507.5,4,0,0,0,0.0
22208,0,0.2471,69,0,1.7078,2617.73,15,0,1,0,1.0
22209,0,0.5275,56,0,0.1414,,9,0,1,0,0.0
22210,0,0.4987,45,0,0.0155,,4,0,0,0,0.0
22211,0,0.82,42,0,0.3793,,11,0,0,0,1.0
22212,0,0.1982,49,0,0.196,3093.34,6,0,2,0,1.0
22213,1,0.2482,26,1,0.5992,2168.06,7,1,3,0,0.0
22214,0,0.2315,45,0,0.0989,1318.76,7,0,4,0,2.0
22215,0,0.4596,75,0,1.4202,3794.09,9,0,0,0,
22216,0,0.0677,48,1,3.0,3898.96,8,0,0,0,2.0
22217,0,0.5642,34,0,1.1026,4639.23,6,0,0,0,0.0
22218,0,0.2069,70,1,0.1043,3940.7,6,0,0,0,0.0
22219,0,0.1277,40,0,1.04,5063.23,9,0,0,1,1.0
22220,0,0.4159,30,0,1.6162,3826.57,4,0,1,0,0.0
22221,0,0.353,72,0,0.3329,12468.78,15,0,1,0,2.0
22222,0,0.4765,27,0,0.3027,8485.53,5,0,0,0,1.0
22223,0,0.1937,33,1,0.1584,,14,0,0,0,0.0
22224,1,0.3779,23,0,1.4756,903.95,8,1,2,0,3.0
22225,0,0.1549,65,0,0.143,11206.28,10,0,1,0,0.0
22226,0,0.2979,28,1,0.1722,2510.31,3,0,1,0,1.0
22227,0,0.0656,75,1,0.3045,4691.96,14,0,1,0,0.0
22228,0,0.3242,69,0,0.6528,4212.37,5,0,1,0,0.0
22229,0,0.425,20,1,0.0522,2788.73,6,0,0,0,
22230,0,0.261,45,1,0.1233,2162.2,4,0,0,0,0.0
22231,0,0.4221,78,0,0.2806,2377.46,3,0,0,0,0.0
22232,1,0.2375,58,1,1.308,,9,0,0,1,1.0
22233,0,0.1719,32,0,0.2182,1335.9,10,0,2,0,2.0
22234,0,0.3886,77,0,0.3488,2146.29,9,0,3,0,0.0
22235,0,0.4459,30,0,0.3756,,8,0,0,0,1.0
22236,1,0.283,59,0,2.8238,,8,0,1,0,0.0
22237,1,0.2416,69,1,0.7729,,5,0,2,1,1.0
22238,1,0.0143,73,1,0.3935,4878.17,14,2,2,0,0.0
22239,0,0.7421,62,1,0.5335,2578.79,7,0,1,1,2.0
22240,0,0.6771,34,2,0.2038,2350.66,8,0,1,0,0.0
22241,0,0.3323,24,0,0.1729,,3,0,1,0,
22242,0,0.1124,45,0,0.352,5058.58,6,0,2,0,0.0
22243,0,0.2964,55,1,0.064,2568.62,5,0,1,1,1.0
22244,0,0.0844,30,0,0.3798,3907.18,6,0,0,0,0.0
22245,0,0.0881,77,1,0.2535,5100.28,12,0,1,0,0.0
22246,0,0.227,34,0,0.2217,4431.46,7,0,1,0,0.0
22247,0,0.3718,32,0,0.0508,1896.3,9,0,2,0,0.0
22248,1,0.1458,53,0,3.0,,6,0,1,0,
22249,0,0.1109,45,0,0.1202,4553.75,8,0,0,0,1.0
22250,0,0.2848,32,0,0.0509,2752.76,8,1,0,0,1.0
22251,0,0.438,63,1,0.0687,1753.89,11,0,0,1,
22252,0,0.1827,70,0,0.0767,3121.85,4,0,1,0,1.0
22253,0,0.212,28,0,3.0,5216.48,12,0,1,0,0.0
22254,0,0.608,73,2,0.4485,,10,0,0,0,3.0
22255,0,0.5148,48,1,0.5894,,7,0,1,0,0.0
22256,0,0.5817,21,1,0.1926,3094.51,6,0,4,0,1.0
22257,0,0.1402,52,0,0.2489,3954.09,7,0,0,0,2.0
22258,0,0.4444,51,0,0.3108,6558.02,8,0,1,0,0.0
22259,0,0.1185,69,0,0.5015,1935.69,10,0,1,0,2.0
22260,0,0.2556,44,0,0.9629,,3,0,2,0,2.0
22261,0,0.4842,27,0,0.1052,4932.95,8,0,0,0,1.0
22262,0,0.4703,47,0,0.7316,,10,0,4,0,1.0
22263,0,0.0537,62,0,0.0602,927.68,4,0,2,3,0.0
22264,0,0.0663,37,0,0.0803,2060.18,7,1,0,0,0.0
22265,0,0.2965,46,0,0.694,1965.53,3,1,3,0,0.0
22266,1,0.3587,75,1,0.9582,8195.83,7,1,0,0,4.0
22267,0,0.1924,70,0,0.2987,1629.74,10,0,0,1,0.0
22268,0,0.3608,46,1,0.5656,1434.63,4,0,2,0,1.0
22269,0,0.1315,40,2,2.5761,1292.27,9,0,2,0,2.0
22270,1,0.6696,74,2,0.7739,2329.65,3,0,3,0,2.0
22271,0,0.3127,67,1,0.2175,,5,0,3,0,1.0
22272,0,0.3065,38,0,0.5197,10942.38,10,0,2,0,1.0
22273,0,0.5085,65,0,0.3132,2316.28,6,0,2,0,1.0
22274,0,0.3208,60,0,0.2552,1780.31,8,0,2,1,0.0
22275,0,0.1602,27,0,0.4936,9011.7,11,0,0,0,0.0
22276,0,0.3366,58,1,0.1465,,10,0,1,1,1.0
22277,0,0.2793,29,1,0.041,883.3,7,0,0,0,0.0
22278,0,0.3467,47,0,1.1903,2106.51,8,0,2,0,1.0
22279,0,0.1281,78,1,0.6752,3520.22,12,0,1,0,1.0
22280,0,0.411,68,0,0.4167,3450.92,12,0,0,0,0.0
22281,0,0.7217,50,2,0.519,14273.51,9,0,0,0,0.0
22282,0,0.1974,35,0,0.0337,2057.64,6,0,3,0,1.0
22283,0,0.5482,31,0,0.2967,1355.7,9,0,3,0,1.0
22284,0,0.7398,39,0,0.1391,1760.32,13,1,2,1,2.0
22285,0,0.5046,38,0,0.1787,6489.16,9,0,1,0,0.0
22286,0,0.0964,18,0,0.1968,2998.27,9,0,1,0,0.0
22287,0,0.5081,66,0,0.3315,9282.0,11,0,3,1,1.0
22288,0,0.1869,60,0,0.2565,,4,0,0,0,0.0
22289,0,0.4932,69,0,0.0426,1882.59,7,0,0,1,1.0
22290,0,0.2666,77,0,0.4262,5536.15,9,1,1,0,0.0
22291,0,0.411,32,0,0.801,,4,0,0,0,1.0
22292,0,0.2963,53,0,1.3691,8399.52,8,0,1,0,0.0
22293,0,0.2904,64,0,1.1046,1133.07,8,0,2,0,1.0
22294,0,0.1697,71,0,0.0436,3683.32,10,0,1,0,0.0
22295,0,0.3432,39,0,0.0082,1386.74,13,0,1,0,0.0
22296,0,0.3538,49,0,0.0505,2460.79,6,0,2,0,3.0
22297,0,0.0607,75,0,0.1169,2569.91,6,0,2,0,0.0
22298,0,0.3518,63,1,0.0806,3686.24,6,1,0,0,1.0
22299,1,0.5714,71,0,0.3909,,13,1,2,1,0.0
22300,0,0.0907,50,0,0.2296,1983.3,13,1,1,0,1.0
22301,0,0.2297,75,1,0.1225,,11,0,1,0,1.0
22302,0,0.4155,58,0,0.1916,7696.75,6,0,0,0,1.0
22303,0,0.4139,76,1,0.2205,3448.16,6,0,0,1,1.0
22304,0,0.2881,56,0,0.0561,10124.96,7,0,2,0,0.0
22305,1,0.1755,40,0,0.8178,2863.16,9,0,0,0,4.0
22306,0,0.3947,60,1,0.3031,828.64,13,0,0,1,0.0
22307,0,0.2477,72,1,0.6391,1587.48,11,0,1,0,0.0
22308,0,0.3512,19,2,0.2397,,8,1,1,0,0.0
22309,0,0.2525,19,1,0.3532,5763.56,5,0,0,0,0.0
22310,0,0.2282,55,1,2.5884,1522.43,15,0,0,0,1.0
22311,0,0.1,72,2,0.4098,2899.58,4,0,1,0,0.0
22312,0,0.0441,68,0,0.1033,,7,0,1,0,0.0
22313,0,0.1706,46,0,0.6298,3560.05,12,0,0,0,1.0
22314,0,0.1148,69,0,0.1412,9326.03,15,0,0,0,0.0
22315,0,0.1968,63,0,0.9449,1307.96,10,0,0,0,0.0
22316,0,0.1547,77,1,1.3522,,7,0,1,0,
22317,1,0.3075,20,0,0.0832,981.16,4,0,0,0,0.0
22318,0,0.5688,56,0,0.5778,6461.04,5,0,1,0,1.0
22319,1,0.5143,24,0,0.3766,,7,0,1,0,2.0
22320,0,0.1693,53,1,0.0625,2405.65,11,0,3,0,1.0
22321,0,0.0835,46,1,0.0669,,3,0,1,0,0.0
22322,0,0.0634,72,3,0.2571,6482.7,5,0,3,0,0.0
22323,1,0.2883,54,0,1.838,4194.48,5,0,0,0,2.0
22324,0,0.7325,66,0,1.4886,7002.49,11,0,0,0,0.0
22325,0,0.2219,75,0,0.4475,2718.47,6,0,0,0,1.0
22326,0,0.0415,53,1,0.2034,3863.16,9,0,0,0,1.0
22327,0,0.3474,40,1,0.992,1295.73,5,0,1,0,1.0
22328,0,0.3626,62,0,0.7626,1772.48,13,0,1,0,0.0
22329,0,0.1265,33,0,1.5412,2510.69,9,0,1,1,1.0
22330,0,0.3479,65,0,0.4163,2971.44,9,0,2,0,0.0
22331,0,0.2767,48,0,0.5314,6038.46,10,0,1,0,1.0
22332,0,0.2358,51,1,0.1472,7200.35,10,1,3,0,0.0
22333,0,0.0835,67,0,0.877,22395.14,7,0,0,0,1.0
22334,0,0.4789,18,1,2.5075,15146.46,13,0,2,0,1.0
22335,1,0.2528,35,0,1.5293,6743.13,6,1,4,0,0.0
22336,0,0.644,75,1,1.0898,,10,0,0,0,0.0
22337,0,0.0739,79,0,0.1941,8246.04,7,0,1,0,0.0
22338,0,0.372,57,1,0.0241,11372.98,3,0,0,0,0.0
22339,0,0.0965,60,1,0.3895,3337.91,10,0,0,0,2.0
22340,0,0.3478,73,0,2.5067,923.78,3,0,3,0,0.0
22341,0,0.0474,73,1,0.2536,3496.93,5,0,0,0,0.0
22342,0,0.2819,32,0,0.2351,5659.48,9,0,1,0,2.0
22343,1,0.5795,65,1,0.9118,3595.02,5,0,0,0,1.0
22344,0,0.1757,66,0,0.1558,2278.76,16,0,1,1,1.0
22345,0,0.1142,34,0,0.3503,2871.04,6,0,0,0,2.0
22346,0,0.0791,61,0,1.7255,7475.41,8,0,0,0,3.0
22347,0,0.2561,27,1,0.0447,4219.68,5,0,2,0,0.0
22348,0,0.2591,37,1,0.3904,8486.78,3,0,1,1,1.0
22349,0,0.1376,23,0,1.5678,6485.49,13,0,1,0,1.0
22350,0,0.3856,25,0,0.4847,2642.36,12,0,1,0,0.0
22351,0,0.0562,62,1,0.3569,,5,0,0,0,2.0
22352,0,0.1156,51,0,0.2497,8670.32,3,0,0,0,0.0
22353,0,0.4113,78,0,0.4129,3362.83,6,0,0,0,2.0
22354,0,0.1426,49,0,0.4373,4847.56,9,0,0,0,0.0
22355,1,0.3325,68,0,1.2596,1044.28,11,0,2,1,0.0
22356,0,0.1995,71,0,0.3426,2221.73,2,0,0,0,1.0
22357,0,0.0281,59,0,0.2338,,6,0,1,0,1.0
22358,0,0.4081,21,0,1.2263,1478.79,7,0,0,0,2.0
22359,0,0.1196,61,1,0.0885,3318.25,4,0,3,0,
22360,1,0.1495,67,0,0.9537,9921.62,8,0,2,0,0.0
22361,0,0.5206,56,0,0.0911,3758.25,10,0,0,0,0.0
22362,0,0.4116,37,0,1.2299,,7,0,0,0,0.0
22363,0,0.4168,41,0,0.2176,4971.72,13,0,0,1,1.0
22364,0,0.1805,41,0,0.3547,10091.77,14,0,0,0,0.0
22365,0,0.0949,72,0,0.1526,,11,0,1,0,2.0
22366,1,0.1197,43,1,0.6144,1894.41,10,0,2,0,1.0
22367,0,0.172,42,0,0.422,,11,0,1,0,1.0
22368,0,0.1566,53,1,0.0775,1010.02,12,0,2,1,0.0
22369,0,0.3886,24,0,0.5257,4596.07,10,0,0,0,1.0
22370,1,0.0787,27,0,0.1269,,3,1,2,0,0.0
22371,0,0.2089,75,1,1.1769,1643.27,3,0,0,0,1.0
22372,0,0.1448,64,0,1.0005,3867.59,13,0,1,0,1.0
22373,1,0.5155,29,1,0.7455,,6,0,1,0,0.0
22374,0,0.4374,18,2,0.6591,2271.75,13,0,1,0,2.0
22375,0,0.223,69,1,2.8067,1207.18,12,0,2,0,1.0
22376,0,0.4245,67,0,0.0639,4979.65,7,0,0,0,1.0
22377,0,0.2502,42,0,0.5455,6702.11,5,0,2,1,0.0
22378,0,0.3121,33,0,0.9256,3033.22,8,0,1,0,0.0
22379,0,0.534,22,1,1.2127,14087.8,8,0,0,0,2.0
22380,0,0.0847,36,0,1.9065,2568.58,14,0,2,0,1.0
22381,1,0.2888,21,0,0.5146,1189.36,6,1,0,0,1.0
22382,1,0.1757,23,1,0.3897,,11,0,3,0,0.0
22383,0,0.1427,43,0,0.1056,2733.37,4,0,2,0,1.0
22384,0,0.0922,66,2,0.2326,3795.12,4,0,0,0,2.0
22385,0,0.159,56,1,0.0505,17388.95,5,0,0,0,1.0
22386,0,0.5167,73,0,0.3981,1431.15,8,0,2,0,
22387,0,0.2795,72,0,0.2192,1944.57,7,0,1,1,0.0
22388,0,0.2824,56,1,0.6425,4228.36,8,0,0,0,0.0
22389,0,0.1229,26,0,0.077,3239.63,8,0,2,0,1.0
22390,0,0.4495,62,0,0.6102,1985.41,7,0,3,1,1.0
22391,0,0.3637,69,1,0.2207,2936.04,5,1,0,0,2.0
22392,0,0.4784,31,0,0.1681,1368.43,6,0,2,1,0.0
22393,0,0.2768,65,0,0.3712,2213.76,5,0,1,0,1.0
22394,0,0.3861,72,0,0.1002,1390.65,11,0,1,0,0.0
22395,0,0.19,26,0,0.3289,6279.66,7,0,3,0,0.0
22396,0,0.0765,32,0,0.4338,5086.18,12,0,1,0,1.0
22397,0,0.1567,54,0,1.043,2917.84,10,0,1,0,0.0
22398,0,0.0372,67,0,0.1526,3060.12,6,0,0,0,0.0
22399,0,0.3378,70,0,0.9683,,13,0,4,0,0.0
22400,0,0.306,37,0,0.0418,2200.38,9,0,0,0,1.0
22401,0,0.2736,25,0,0.0997,927.69,13,0,1,0,1.0
22402,0,0.3379,49,0,0.5723,2384.7,7,0,0,0,0.0
22403,0,0.0607,64,0,0.7435,,10,0,2,0,0.0
22404,0,0.3074,38,0,0.0674,5894.38,12,0,0,2,0.0
22405,0,0.1324,74,0,0.2432,3182.18,5,0,0,0,0.0
22406,0,0.2168,58,0,0.2466,1984.04,13,0,2,0,0.0
22407,0,0.1186,36,0,0.8611,4480.08,5,0,1,1,1.0
22408,0,0.4473,46,2,0.167,3418.36,7,0,4,1,0.0
22409,1,0.6405,75,1,0.0647,1460.06,7,0,0,0,1.0
22410,1,0.1839,48,0,0.7558,858.64,9,0,1,0,2.0
22411,0,0.2717,71,1,0.4123,,11,0,0,1,0.0
22412,0,0.2423,23,1,2.6273,8798.04,7,0,1,0,2.0
22413,0,0.1925,21,0,2.4744,4465.01,9,0,1,0,0.0
22414,0,0.2366,60,1,0.0336,,6,0,0,0,0.0
22415,0,0.34,46,0,0.959,2954.63,6,0,0,1,0.0
22416,0,0.1318,59,1,0.2581,2946.39,7,0,0,0,2.0
22417,0,0.1612,20,0,0.0538,459.04,12,0,1,0,1.0
22418,0,0.2382,18,1,0.1943,792.74,9,0,0,0,0.0
22419,1,0.255,61,0,0.864,4177.46,6,0,2,0,1.0
22420,0,0.4174,72,0,0.1337,3460.18,5,0,2,0,2.0
22421,0,0.2143,32,0,0.0046,618.9,13,0,0,0,0.0
22422,0,0.2613,64,2,0.1865,3319.34,3,0,3,0,0.0
22423,0,0.3994,38,0,0.8793,6117.58,9,0,0,0,1.0
22424,0,0.222,63,1,0.1471,3771.02,10,0,1,0,0.0
22425,0,0.3338,75,0,0.1301,2084.58,5,0,0,0,1.0
22426,1,0.2462,48,0,0.2775,529.58,9,0,1,0,1.0
22427,0,0.2267,24,1,0.5413,4017.17,4,0,2,1,1.0
22428,0,0.4931,34,0,0.5491,1623.18,5,0,1,0,0.0
22429,0,0.4447,73,0,1.0278,4328.14,14,1,2,1,0.0
22430,0,0.2984,36,0,1.4981,4933.78,5,0,1,0,1.0
22431,0,0.4517,56,0,0.4425,5765.53,13,0,0,0,2.0
22432,0,0.3631,77,0,0.0393,3951.54,5,0,0,0,1.0
22433,0,0.3751,20,1,0.4462,,6,0,2,0,2.0
22434,0,0.4276,47,1,0.8851,4560.62,7,0,0,0,1.0
22435,0,0.3832,52,0,2.3814,1487.73,5,0,3,0,1.0
22436,0,0.3669,75,1,0.444,7627.4,8,1,2,0,1.0
22437,0,0.297,74,0,1.0442,1876.93,4,0,1,0,2.0
22438,0,0.04,46,0,0.0419,10757.32,10,0,0,0,0.0
22439,0,0.2206,67,1,0.265,2542.18,8,0,0,0,1.0
22440,0,0.1419,79,2,0.4059,4278.41,10,0,1,0,1.0
22441,0,0.5035,69,0,0.531,3304.76,9,0,2,0,0.0
22442,1,0.3943,71,0,0.8649,857.77,6,0,0,0,0.0
22443,0,0.4392,31,0,0.8546,,6,1,1,0,0.0
22444,0,0.2336,52,0,0.6911,,11,0,0,0,1.0
